City,id,nametype,reclass,mass (g),Trip or Order Status,Request Time,Pickup Lat,Pickup Lng,Dropoff Lat,Dropoff Lng
Chicago,18883,Valid,Chicago,0.81,COMPLETED,2019-12-06 00:25:22 +0000 UTC,41.9343023,-87.66563,41.9326606,-87.6531667
Chicago,7723,Valid,Chicago,0.62,COMPLETED,2019-12-05 04:00:59 +0000 UTC,41.93445,-87.665612,41.93445,-87.665612
Chicago,5095,Valid,Chicago,4.6,COMPLETED,2019-11-27 19:06:59 +0000 UTC,41.9343019,-87.6656766,41.929736,-87.7075928
Chicago,5499,Valid,Chicago,4.85,COMPLETED,2019-11-27 04:27:42 +0000 UTC,41.93445,-87.665612,41.93445,-87.665612
Chicago,12446,Valid,Chicago,5.78,COMPLETED,2019-11-27 02:59:20 +0000 UTC,41.88457,-87.6282,41.93429,-87.6656
Chicago,18798,Valid,Chicago,0,CANCELED,2019-11-27 02:57:45 +0000 UTC,41.8846256,-87.624376,41.8852148,-87.6223025
Chicago,22774,Valid,Chicago,0,CANCELED,2019-11-27 02:56:48 +0000 UTC,41.8808171,-87.6280788,41.8807251,-87.6257268
Chicago,11844,Valid,Chicago,6.16,COMPLETED,2019-11-26 14:05:21 +0000 UTC,41.93428,-87.66586,41.88135,-87.62615
Chicago,30399,Valid,Chicago,0,CANCELED,2019-11-26 13:57:33 +0000 UTC,41.93604,-87.66907,41.936044,-87.66908044
Chicago,15475,Valid,Chicago,7.08,COMPLETED,2019-11-25 19:52:32 +0000 UTC,41.9343385,-87.6636861,41.8809483,-87.6240821
Chicago,12400,Valid,Chicago,5.71,COMPLETED,2019-11-24 18:35:40 +0000 UTC,41.9343756,-87.6636845,41.8845514,-87.624128
Chicago,5316,Valid,Chicago,4.03,COMPLETED,2019-11-24 09:24:52 +0000 UTC,41.90154,-87.62462,41.93428,-87.66561
Chicago,11900,Valid,Chicago,3.94,COMPLETED,2019-11-24 03:53:18 +0000 UTC,41.93428,-87.6658504,41.9016885,-87.6246395
Chicago,5340,Valid,Chicago,4.43,COMPLETED,2019-11-23 19:45:06 +0000 UTC,41.90162,-87.62458,41.93429,-87.6657
Chicago,18811,Valid,Chicago,3.95,COMPLETED,2019-11-23 00:42:14 +0000 UTC,41.93427,-87.66588,41.90162,-87.62478
